event_id;event_image_path;event_name;performance_starts;performance_sold_out;event_category;ticket_type;ticket_min_price;ticket_max_price;ticket_currency;destination_id;destination_name;venue_id;venue_name;venue_address;venue_postal_code;venue_town;event_alternative_description;event_official_description;venue_phone
140537;/events/images/140537.jpg;Jason Donovan;2021-09-19T20:00:00+01:00;;Music;Standard;41.1;51.0;GBP;16557;Nottingham;50562;Nottingham Royal Concert Hall;Royal Centre Theatre Square;NG1 5ND;Nottingham;First came Neighbours, then the West End beckoned, not forgetting an appearance in the celebrity jungle. And now he's singing again, especially for us.;Jason Donovan came into our lives in the late 80s as Scott Robinson in the hit Australian series, Neighbours. Throughout 1988/89 he had several hits and his album Ten Good Reasons was the best-selling album of 1989. His hits included Too Many Broken Hearts, Especially For You (with Kylie Minogue), Any Dream Will Do, Sealed With A Kiss and many more. Since then he has rarely been away from stage or screen. Jason’s record breaking run in Joseph in the early 90s preceded The Rocky Horror Show, Chitty Chitty Bang Bang and Priscilla, among others. Jason performed at Concert For Diana, made the I’m A Celebrity and Strictly Come Dancing finals, found his Australian ancestors on Who Do You Think You Are and in 2018/19, travelled the country, completing 125 shows on his Amazing Midlife Crisis Tour including a sold out week at the Edinburgh Fringe. Jason recently worked on his first theatre producing project, Priscilla Queen of the Desert and spent the summer back at the London Palladium as Pharaoh in the sold out Joseph and his Amazing Technicolor Dreamcoat.;
140537;/events/images/140537.jpg;Jason Donovan;2021-10-16T19:00:00+01:00;;Music;Standard;25.0;45.0;GBP;17642;Manchester;50553;O2 Apollo Manchester;Stockport Road Ardwick Green;M12 6AP;Manchester;First came Neighbours, then the West End beckoned, not forgetting an appearance in the celebrity jungle. And now he's singing again, especially for us.;Jason Donovan came into our lives in the late 80s as Scott Robinson in the hit Australian series, Neighbours. Throughout 1988/89 he had several hits and his album Ten Good Reasons was the best-selling album of 1989. His hits included Too Many Broken Hearts, Especially For You (with Kylie Minogue), Any Dream Will Do, Sealed With A Kiss and many more. Since then he has rarely been away from stage or screen. Jason’s record breaking run in Joseph in the early 90s preceded The Rocky Horror Show, Chitty Chitty Bang Bang and Priscilla, among others. Jason performed at Concert For Diana, made the I’m A Celebrity and Strictly Come Dancing finals, found his Australian ancestors on Who Do You Think You Are and in 2018/19, travelled the country, completing 125 shows on his Amazing Midlife Crisis Tour including a sold out week at the Edinburgh Fringe. Jason recently worked on his first theatre producing project, Priscilla Queen of the Desert and spent the summer back at the London Palladium as Pharaoh in the sold out Joseph and his Amazing Technicolor Dreamcoat.;
189107;/events/images/189107.jpg;The Shires;2021-05-11T19:00:00+01:00;;Music;Standard;27.5;42.55;GBP;16557;Nottingham;50562;Nottingham Royal Concert Hall;Royal Centre Theatre Square;NG1 5ND;Nottingham;Country duo comprising of Ben Earle and Crissie Rhodes.;UK country superstars The Shires first entered the history books in 2015, when their debut album, Brave, became the first ever British country album to enter the UK Top Ten. Their second album, My Universe, also broke new ground by becoming the fastest-selling British country album of all time and reached the top three in the UK chart. After an incredible two years, Ben Earle and Crissie Rhodes, hailing from Hertfordshire and Bedfordshire, have fast become a firm favourite in the UK country music scene. Now they’re making their mark in Nashville too. With two gold certified albums under their belt within 12 months of each other and nine playlisted tracks across BBC Music, The Shires are back and they’re raring to go.;
189107;/events/images/189107.jpg;The Shires;2021-05-17T19:00:00+01:00;;Music;Standard;27.61;40.26;GBP;17642;Manchester;52912;Bridgewater Hall;Lower Mosley Street;M2 3WS;Manchester;Country duo comprising of Ben Earle and Crissie Rhodes.;UK country superstars The Shires first entered the history books in 2015, when their debut album, Brave, became the first ever British country album to enter the UK Top Ten. Their second album, My Universe, also broke new ground by becoming the fastest-selling British country album of all time and reached the top three in the UK chart. After an incredible two years, Ben Earle and Crissie Rhodes, hailing from Hertfordshire and Bedfordshire, have fast become a firm favourite in the UK country music scene. Now they’re making their mark in Nashville too. With two gold certified albums under their belt within 12 months of each other and nine playlisted tracks across BBC Music, The Shires are back and they’re raring to go.;0844 907 9000
487449;/events/images/487449.jpg;Fisherman's Friends;2021-04-09T19:00:00+01:00;;Music;Standard;29.3;38.65;GBP;17642;Manchester;52912;Bridgewater Hall;Lower Mosley Street;M2 3WS;Manchester;A nine-man shanty folk group drawing on 200 years of traditional vocal repertoire.;Bound together by lifelong friendship and shared experience for more than 25 years, the Fisherman’s Friends have met on the Platt (harbour) in their native Port Isaac to raise money for charity, singing the traditional songs of the sea handed down to them by their forefathers. In 2010 they signed a major record deal and their album Port Isaac’s Fisherman’s Friends went gold as they became the first traditional folk act to land a UK top ten album. Since then they’ve been the subject of an ITV documentary, released the hit albums One and All and Proper Job and played to hundreds of thousands of fans at home and abroad. The Fisherman’s Friends have been widely credited with starting the revival of interest in shanty-style choral singing but a cornerstone of their success has been their constantly evolving and expanding repertoire.;0844 907 9000
487449;/events/images/487449.jpg;Fisherman's Friends;2021-09-11T19:00:00+01:00;;Music;Standard;27.5;36.85;GBP;20533;Edinburgh;383;The Queen's Hall;85--89 Clerk Street;EH8 9JG;Edinburgh;A nine-man shanty folk group drawing on 200 years of traditional vocal repertoire.;Bound together by lifelong friendship and shared experience for more than 25 years, the Fisherman’s Friends have met on the Platt (harbour) in their native Port Isaac to raise money for charity, singing the traditional songs of the sea handed down to them by their forefathers. In 2010 they signed a major record deal and their album Port Isaac’s Fisherman’s Friends went gold as they became the first traditional folk act to land a UK top ten album. Since then they’ve been the subject of an ITV documentary, released the hit albums One and All and Proper Job and played to hundreds of thousands of fans at home and abroad. The Fisherman’s Friends have been widely credited with starting the revival of interest in shanty-style choral singing but a cornerstone of their success has been their constantly evolving and expanding repertoire.;0131 668 2019
487449;/events/images/487449.jpg;Fisherman's Friends;2021-05-06T19:00:00+01:00;;Music;Standard;29.15;38.5;GBP;16557;Nottingham;50562;Nottingham Royal Concert Hall;Royal Centre Theatre Square;NG1 5ND;Nottingham;A nine-man shanty folk group drawing on 200 years of traditional vocal repertoire.;Bound together by lifelong friendship and shared experience for more than 25 years, the Fisherman’s Friends have met on the Platt (harbour) in their native Port Isaac to raise money for charity, singing the traditional songs of the sea handed down to them by their forefathers. In 2010 they signed a major record deal and their album Port Isaac’s Fisherman’s Friends went gold as they became the first traditional folk act to land a UK top ten album. Since then they’ve been the subject of an ITV documentary, released the hit albums One and All and Proper Job and played to hundreds of thousands of fans at home and abroad. The Fisherman’s Friends have been widely credited with starting the revival of interest in shanty-style choral singing but a cornerstone of their success has been their constantly evolving and expanding repertoire.;
1329487;/events/images/1329487.jpg;Mark Thomas: 50 Things About Us;2021-10-08T19:30:00+01:00;;Comedy;Standard;14.5;18.5;GBP;16557;Nottingham;71635;Lakeside Arts Centre;University Park;NG7 2RD;Nottingham;Storytelling and stand-up about the British identity and the 'divided wasteland that some of us call the United Kingdom' from comedian Mark Thomas.;In his new show 50 Things About Us, Mark Thomas combines his trademark mix of storytelling, stand up, mischief and really, really well researched material to examine how we have come to inhabit this divided wasteland that some of us call the United Kingdom. Mark picks through the myths, facts and figures of our national identities to ask who do we think we are? It is a show about money, history, songs, gongs, wigs, unicorns, guns, bungs, sods of soil and rich fuckers. And how we have so much feeling for such a hollow land. (In the vein of the Manifesto meets a sweary history channel) 50 Things About Us is also a podcast (coming out in September) and a book published by September Publishing in February 2020 and an art exhibition... in Liverpool January 2020. Suitable for ages 16+ years. In line with current government guidelines, this event has a reduced capacity with socially distanced seating. This is subject to change as we monitor government advice. Seat numbers are also subject to change.;
1329487;/events/images/1329487.jpg;Mark Thomas: 50 Things About Us;2021-10-07T19:30:00+01:00;;Comedy;Standard;14.5;18.5;GBP;16557;Nottingham;71635;Lakeside Arts Centre;University Park;NG7 2RD;Nottingham;Storytelling and stand-up about the British identity and the 'divided wasteland that some of us call the United Kingdom' from comedian Mark Thomas.;In his new show 50 Things About Us, Mark Thomas combines his trademark mix of storytelling, stand up, mischief and really, really well researched material to examine how we have come to inhabit this divided wasteland that some of us call the United Kingdom. Mark picks through the myths, facts and figures of our national identities to ask who do we think we are? It is a show about money, history, songs, gongs, wigs, unicorns, guns, bungs, sods of soil and rich fuckers. And how we have so much feeling for such a hollow land. (In the vein of the Manifesto meets a sweary history channel) 50 Things About Us is also a podcast (coming out in September) and a book published by September Publishing in February 2020 and an art exhibition... in Liverpool January 2020. Suitable for ages 16+ years. In line with current government guidelines, this event has a reduced capacity with socially distanced seating. This is subject to change as we monitor government advice. Seat numbers are also subject to change.;
1329487;/events/images/1329487.jpg;Mark Thomas: 50 Things About Us;2021-10-13T19:30:00+01:00;;Comedy;Standard;12.5;17.5;GBP;17642;Manchester;64550;Home;2 Tony Wilson Place;M15 4FN;Manchester;Storytelling and stand-up about the British identity and the 'divided wasteland that some of us call the United Kingdom' from comedian Mark Thomas.;In his new show 50 Things About Us, Mark Thomas combines his trademark mix of storytelling, stand up, mischief and really, really well researched material to examine how we have come to inhabit this divided wasteland that some of us call the United Kingdom. Mark picks through the myths, facts and figures of our national identities to ask who do we think we are? It is a show about money, history, songs, gongs, wigs, unicorns, guns, bungs, sods of soil and rich fuckers. And how we have so much feeling for such a hollow land. (In the vein of the Manifesto meets a sweary history channel) 50 Things About Us is also a podcast (coming out in September) and a book published by September Publishing in February 2020 and an art exhibition... in Liverpool January 2020. Suitable for ages 16+ years. In line with current government guidelines, this event has a reduced capacity with socially distanced seating. This is subject to change as we monitor government advice. Seat numbers are also subject to change.;
1365314;/events/images/1365314.jpg;Funbox;2021-12-24T11:00:00+00:00;;Kids;Standard;11.5;12.5;GBP;20533;Edinburgh;388;The Brunton;Ladywell Way;EH21 6AA;Musselburgh;Singalong shows for the entire family from performers Anya Scott-Rodgers, Gary Coupland and Kevin Macleod.;;0131 665 2240
1365314;/events/images/1365314.jpg;Funbox;2021-12-24T14:00:00+00:00;;Kids;Standard;11.5;12.5;GBP;20533;Edinburgh;388;The Brunton;Ladywell Way;EH21 6AA;Musselburgh;Singalong shows for the entire family from performers Anya Scott-Rodgers, Gary Coupland and Kevin Macleod.;;0131 665 2240
1365314;/events/images/1365314.jpg;Funbox;2021-12-27T12:00:00+00:00;;Kids;Standard;11.5;12.5;GBP;20533;Edinburgh;388;The Brunton;Ladywell Way;EH21 6AA;Musselburgh;Singalong shows for the entire family from performers Anya Scott-Rodgers, Gary Coupland and Kevin Macleod.;;0131 665 2240
1365314;/events/images/1365314.jpg;Funbox;2021-12-27T15:00:00+00:00;;Kids;Standard;11.5;12.5;GBP;20533;Edinburgh;388;The Brunton;Ladywell Way;EH21 6AA;Musselburgh;Singalong shows for the entire family from performers Anya Scott-Rodgers, Gary Coupland and Kevin Macleod.;;0131 665 2240
1405385;/events/images/1405385.jpg;Lady Boys of Bangkok: Flight of Fantasy Tour;2021-08-06T18:30:00+01:00;;Dance;Standard;24.45;33.95;GBP;20533;Edinburgh;57378;The Sabai Pavilion;The Meadows;EH9 1JZ;Edinburgh;A brand new show from the world renowned entertainment group.;The Lady Boys of Bangkok are back in 2021 to bring some sparkle back with their most sensational new show yet, ‘’ FLIGHT OF FANTASY! ‘’ Climb aboard for the trip of a lifetime as the world’s most glamorous showgirls (who just happen to be men!) send you soaring to spectacular diamante-dipped song and dance destinations, with over 400 stunning costumes. Your cabin crew, Ole and Jamie (the UK’s only dwarf drag queen) take you mile high at the biggest and most glitzy show in the sky! Pop icons including Destiny’s Child, Shania Twain, Little Mix, the Pussycat Dolls and many more will have you tapping your feet, transporting you from Las Vegas to Las Palmas in a sparkle-filled show where Bollywood meets Broadway. The decadence of the Moulin Rouge will be brought to (night)life as these diamond-clad divas Can-Can to new heights, before the Euphoria of a Eurovision medley, it’s a Thai Drag Race against time to complete this world tour of wonders before The Final Countdown to incredible finale… So get those Nails, Hair, Hips and Heels on point, because you’re going ‘out-out’, up and away on a Flight of Fantasy with The Lady Boys of Bangkok! Grab your boarding passes because in 2021, the sky’s the limit for the UK’s favourite cabaret show and tickets will be in demand! The running time is approximately 1 hour 50 minutes including an interval.;
1405385;/events/images/1405385.jpg;Lady Boys of Bangkok: Flight of Fantasy Tour;2021-08-06T18:30:00+01:00;;Dance;Children;24.45;31.95;GBP;20533;Edinburgh;57378;The Sabai Pavilion;The Meadows;EH9 1JZ;Edinburgh;A brand new show from the world renowned entertainment group.;The Lady Boys of Bangkok are back in 2021 to bring some sparkle back with their most sensational new show yet, ‘’ FLIGHT OF FANTASY! ‘’ Climb aboard for the trip of a lifetime as the world’s most glamorous showgirls (who just happen to be men!) send you soaring to spectacular diamante-dipped song and dance destinations, with over 400 stunning costumes. Your cabin crew, Ole and Jamie (the UK’s only dwarf drag queen) take you mile high at the biggest and most glitzy show in the sky! Pop icons including Destiny’s Child, Shania Twain, Little Mix, the Pussycat Dolls and many more will have you tapping your feet, transporting you from Las Vegas to Las Palmas in a sparkle-filled show where Bollywood meets Broadway. The decadence of the Moulin Rouge will be brought to (night)life as these diamond-clad divas Can-Can to new heights, before the Euphoria of a Eurovision medley, it’s a Thai Drag Race against time to complete this world tour of wonders before The Final Countdown to incredible finale… So get those Nails, Hair, Hips and Heels on point, because you’re going ‘out-out’, up and away on a Flight of Fantasy with The Lady Boys of Bangkok! Grab your boarding passes because in 2021, the sky’s the limit for the UK’s favourite cabaret show and tickets will be in demand! The running time is approximately 1 hour 50 minutes including an interval.;
1405385;/events/images/1405385.jpg;Lady Boys of Bangkok: Flight of Fantasy Tour;2021-08-06T20:45:00+01:00;;Dance;Standard;24.45;33.95;GBP;20533;Edinburgh;57378;The Sabai Pavilion;The Meadows;EH9 1JZ;Edinburgh;A brand new show from the world renowned entertainment group.;The Lady Boys of Bangkok are back in 2021 to bring some sparkle back with their most sensational new show yet, ‘’ FLIGHT OF FANTASY! ‘’ Climb aboard for the trip of a lifetime as the world’s most glamorous showgirls (who just happen to be men!) send you soaring to spectacular diamante-dipped song and dance destinations, with over 400 stunning costumes. Your cabin crew, Ole and Jamie (the UK’s only dwarf drag queen) take you mile high at the biggest and most glitzy show in the sky! Pop icons including Destiny’s Child, Shania Twain, Little Mix, the Pussycat Dolls and many more will have you tapping your feet, transporting you from Las Vegas to Las Palmas in a sparkle-filled show where Bollywood meets Broadway. The decadence of the Moulin Rouge will be brought to (night)life as these diamond-clad divas Can-Can to new heights, before the Euphoria of a Eurovision medley, it’s a Thai Drag Race against time to complete this world tour of wonders before The Final Countdown to incredible finale… So get those Nails, Hair, Hips and Heels on point, because you’re going ‘out-out’, up and away on a Flight of Fantasy with The Lady Boys of Bangkok! Grab your boarding passes because in 2021, the sky’s the limit for the UK’s favourite cabaret show and tickets will be in demand! The running time is approximately 1 hour 50 minutes including an interval.;
1405385;/events/images/1405385.jpg;Lady Boys of Bangkok: Flight of Fantasy Tour;2021-08-06T20:45:00+01:00;;Dance;Children;24.45;31.95;GBP;20533;Edinburgh;57378;The Sabai Pavilion;The Meadows;EH9 1JZ;Edinburgh;A brand new show from the world renowned entertainment group.;The Lady Boys of Bangkok are back in 2021 to bring some sparkle back with their most sensational new show yet, ‘’ FLIGHT OF FANTASY! ‘’ Climb aboard for the trip of a lifetime as the world’s most glamorous showgirls (who just happen to be men!) send you soaring to spectacular diamante-dipped song and dance destinations, with over 400 stunning costumes. Your cabin crew, Ole and Jamie (the UK’s only dwarf drag queen) take you mile high at the biggest and most glitzy show in the sky! Pop icons including Destiny’s Child, Shania Twain, Little Mix, the Pussycat Dolls and many more will have you tapping your feet, transporting you from Las Vegas to Las Palmas in a sparkle-filled show where Bollywood meets Broadway. The decadence of the Moulin Rouge will be brought to (night)life as these diamond-clad divas Can-Can to new heights, before the Euphoria of a Eurovision medley, it’s a Thai Drag Race against time to complete this world tour of wonders before The Final Countdown to incredible finale… So get those Nails, Hair, Hips and Heels on point, because you’re going ‘out-out’, up and away on a Flight of Fantasy with The Lady Boys of Bangkok! Grab your boarding passes because in 2021, the sky’s the limit for the UK’s favourite cabaret show and tickets will be in demand! The running time is approximately 1 hour 50 minutes including an interval.;
1405385;/events/images/1405385.jpg;Lady Boys of Bangkok: Flight of Fantasy Tour;2021-08-07T16:00:00+01:00;;Dance;Standard;24.45;33.95;GBP;20533;Edinburgh;57378;The Sabai Pavilion;The Meadows;EH9 1JZ;Edinburgh;A brand new show from the world renowned entertainment group.;The Lady Boys of Bangkok are back in 2021 to bring some sparkle back with their most sensational new show yet, ‘’ FLIGHT OF FANTASY! ‘’ Climb aboard for the trip of a lifetime as the world’s most glamorous showgirls (who just happen to be men!) send you soaring to spectacular diamante-dipped song and dance destinations, with over 400 stunning costumes. Your cabin crew, Ole and Jamie (the UK’s only dwarf drag queen) take you mile high at the biggest and most glitzy show in the sky! Pop icons including Destiny’s Child, Shania Twain, Little Mix, the Pussycat Dolls and many more will have you tapping your feet, transporting you from Las Vegas to Las Palmas in a sparkle-filled show where Bollywood meets Broadway. The decadence of the Moulin Rouge will be brought to (night)life as these diamond-clad divas Can-Can to new heights, before the Euphoria of a Eurovision medley, it’s a Thai Drag Race against time to complete this world tour of wonders before The Final Countdown to incredible finale… So get those Nails, Hair, Hips and Heels on point, because you’re going ‘out-out’, up and away on a Flight of Fantasy with The Lady Boys of Bangkok! Grab your boarding passes because in 2021, the sky’s the limit for the UK’s favourite cabaret show and tickets will be in demand! The running time is approximately 1 hour 50 minutes including an interval.;
